Borrower_ID,Age,Annual_Income,Credit_Score,Loan_Balance,Delinquency_Status,Primary_Channel,Region,Loan_Type
A98BWNA,65,39488,752,14569,60-89,IVR,W,Consolidation
HJ4WUPR,20,93858,601,44251,Current,IVR,NE,Federal
2SVHOTQ,35,70372,732,6718,Current,IVR,W,Federal
OXENFRR,72,56589,596,0,60-89,Mobile,MW,Federal
QPKI7P5,48,13480,644,27728,30-59,Agent,NE,Federal
1B07G2R,50,58627,677,35586,1-29,IVR,NE,Federal
6763V1M,72,32521,662,31141,30-59,Web,MW,Consolidation
NUO9RT4,46,41337,747,44428,60-89,IVR,W,Consolidation
4191HKK,60,57297,738,55844,30-59,Mobile,S,Private
LCRZ3RJ,22,85305,805,34955,60-89,IVR,NE,Federal
K6FA2HZ,75,34207,733,19971,30-59,Agent,S,Private
07X887L,26,13807,644,17385,Current,Mobile,S,Consolidation
MOPG8UX,32,80385,674,56293,Current,Agent,W,Private
YK9CIUB,48,60493,648,0,Current,Mobile,NE,Consolidation
ET1OVEJ,64,44935,670,12693,30-59,Mobile,MW,Consolidation
1ZNG13W,65,52855,665,63589,60-89,Agent,W,Consolidation
N04FDTZ,29,55067,517,12848,30-59,Mobile,S,Federal
7Z4SZM1,53,55019,676,36260,60-89,Web,MW,Consolidation
WHG0U43,48,12000,687,0,Current,Agent,MW,Private
K9VAK1V,63,51189,567,37605,60-89,Web,S,Private
F4P9OQK,33,37805,541,3603,30-59,Mobile,W,Consolidation
3PT47XX,41,29954,659,40264,60-89,Web,NE,Private
AOFW8XU,49,39273,658,38408,30-59,IVR,W,Private
VASIFPW,43,49483,760,14769,90+,IVR,NE,Private
Z36U8UE,71,39828,771,12545,60-89,IVR,S,Federal
MB0IDD0,73,18865,586,37444,60-89,Mobile,S,Private
YC3RWQM,51,49939,764,17761,60-89,IVR,NE,Consolidation
VHF48UZ,40,57145,686,40540,Current,Mobile,S,Private
KBPTZRR,45,34720,741,47414,60-89,Web,W,Consolidation
UYUCECJ,34,62001,758,1656,90+,Mobile,NE,Private
FQ12PQQ,27,85687,656,19384,90+,Agent,MW,Federal
NL86O1B,57,18455,672,14391,90+,Web,NE,Consolidation
Y587XIR,44,60060,635,16384,60-89,Agent,NE,Federal
HE3DHSU,40,56000,659,9939,Current,IVR,NE,Private
0NUJE8V,31,59912,734,43870,90+,Mobile,S,Federal
PGFZXX6,66,59879,706,28415,30-59,Web,NE,Consolidation
J6SFAS0,68,39799,659,37436,1-29,Agent,MW,Consolidation
1ZHQUNU,57,51281,605,7160,60-89,IVR,S,Consolidation
JLLZ90Z,72,104114,608,25505,Current,Agent,MW,Private
PBJRDHQ,55,29431,723,27942,1-29,Agent,NE,Federal
6XF9ZJB,59,60990,639,13703,90+,Mobile,NE,Private
ZG1NAT0,55,60433,653,47248,60-89,IVR,S,Private
VSKY6C5,21,46045,594,26254,90+,Mobile,W,Federal
HBXLBC8,57,57921,654,4224,1-29,IVR,S,Federal
91F4X2B,38,81047,592,24206,30-59,Mobile,MW,Private
60N330P,36,81302,697,51993,Current,Mobile,NE,Federal
TLDKZ27,48,56054,602,22832,60-89,IVR,S,Consolidation
6NE4590,23,24712,624,32010,Current,Mobile,W,Federal
7GCJBEO,49,54257,632,20718,Current,Agent,MW,Consolidation
3CUK52C,62,48038,655,15065,30-59,IVR,NE,Consolidation
6I4BHMY,46,54618,666,26979,60-89,Mobile,W,Private
5ZHCN8I,69,22331,694,37438,1-29,Web,S,Consolidation
T7ZEWVI,34,12000,728,46397,1-29,IVR,S,Federal
ICD0LSF,74,17029,607,28654,30-59,Mobile,W,Federal
ENMB9UP,64,75867,688,15313,90+,IVR,NE,Federal
O3JRBLO,24,39969,670,22946,30-59,IVR,S,Federal
NYCTOPS,45,42989,680,20849,Current,Web,S,Federal
TSUJT70,51,28756,698,0,60-89,IVR,W,Consolidation
RV3HONI,45,48025,753,10035,30-59,IVR,MW,Federal
QFTQ973,49,48225,727,16225,Current,IVR,W,Private
92TP6QA,36,58544,694,53849,90+,Web,S,Private
9WXN91T,62,73734,752,9587,30-59,IVR,MW,Consolidation
NLP2S07,35,75968,746,23375,1-29,Web,NE,Federal
DPGAH3P,51,56433,760,66410,Current,Agent,S,Federal
M5JLSBO,54,31142,755,30756,Current,Mobile,W,Consolidation
GQ8G9P6,57,58948,667,14437,60-89,Agent,MW,Federal
4SU3COJ,43,46027,753,21990,Current,Mobile,MW,Federal
H73R21L,25,108782,657,26562,1-29,IVR,S,Federal
6QPJN22,62,64688,637,54223,90+,Web,MW,Consolidation
V3ACSHU,39,57040,681,22506,60-89,Web,W,Federal
EV8729C,72,36487,609,31832,30-59,Agent,W,Consolidation
0YS1SBD,24,65185,636,14648,1-29,IVR,W,Consolidation
ABL30X0,60,56703,621,61375,30-59,IVR,W,Federal
D3FVNV4,59,39160,647,20271,60-89,Web,NE,Private
0W6A718,45,69508,650,25160,1-29,Mobile,S,Consolidation
SEVL7FQ,18,52527,689,54972,1-29,Mobile,MW,Federal
UW2AWW7,19,34030,775,41684,30-59,Web,NE,Federal
XMZ2CAO,53,50897,695,21754,60-89,Agent,MW,Consolidation
6C2CU7O,18,46309,568,13640,90+,Mobile,S,Consolidation
49Q6QF1,34,45050,669,47280,60-89,Web,W,Federal
T5U694K,36,51034,763,41228,30-59,Agent,NE,Federal
XJBV9M1,31,44585,752,46405,60-89,Mobile,MW,Consolidation
CZCECER,41,39680,718,11108,90+,Web,S,Private
IDMI247,65,49953,623,52768,Current,IVR,S,Consolidation
6SO049R,52,57269,709,21889,Current,Web,W,Consolidation
VB9WBB5,32,77430,682,1858,90+,Mobile,W,Consolidation
4UF3S9M,73,53269,763,8401,30-59,Web,NE,Consolidation
6I8UXK0,39,37636,611,0,30-59,Web,S,Consolidation
RL21MVE,64,40819,723,0,90+,Mobile,W,Private
LQLFWUU,66,54175,622,46060,30-59,Web,S,Consolidation
AESQAXM,24,72921,706,10878,90+,Mobile,S,Federal
GGKYCSN,18,67987,744,180,90+,Web,S,Consolidation
JNHAV07,21,30599,723,36304,Current,IVR,MW,Private
3IEDD07,44,28634,579,72393,30-59,Agent,MW,Federal
9PAPKRV,60,20160,611,1624,30-59,Agent,S,Private
TGO2T7Q,71,40564,775,50987,60-89,Agent,S,Consolidation
5GDEJ31,48,78444,796,17134,90+,IVR,MW,Consolidation
FGNMV3X,20,30189,611,7977,60-89,Web,W,Consolidation
LI8CXU1,68,45681,596,23299,30-59,IVR,W,Federal
UUG95RL,64,67062,681,0,1-29,Mobile,W,Federal
U7C1A7Y,46,82129,650,65263,60-89,Mobile,S,Federal
T1N0NRX,58,46353,783,48131,Current,Mobile,S,Private
V7HRBFG,45,12000,650,20359,90+,Mobile,NE,Private
4AVYKR6,19,58897,726,10219,1-29,Agent,S,Consolidation
NWTLBN4,33,45266,656,24815,1-29,Web,NE,Consolidation
PBLA6SZ,75,36362,672,26435,1-29,Agent,S,Federal
JBLORIP,63,46061,678,34035,Current,Mobile,S,Federal
MLEOZPR,61,30374,618,6964,90+,Agent,S,Private
54087WS,34,66366,750,26772,1-29,IVR,W,Private
TWD96HH,66,28716,704,78132,60-89,IVR,S,Consolidation
517DXJ1,41,45035,690,38906,Current,Web,MW,Consolidation
B6ZJGUB,32,49839,670,17307,1-29,IVR,NE,Federal
FNX74SS,19,50359,505,13349,90+,Web,NE,Federal
WOO0HLL,20,60273,630,28270,60-89,Web,S,Consolidation
5DGSIRI,59,81022,694,20774,60-89,IVR,W,Federal
HL5V32B,69,46083,735,12157,90+,Web,W,Federal
1NGWZHE,62,61164,627,48074,60-89,Agent,W,Private
HDJ7O9X,47,34563,655,0,30-59,Agent,NE,Consolidation
D00YKGA,58,93739,697,17224,Current,Mobile,MW,Private
S5HRC2H,30,42567,729,42558,Current,Mobile,NE,Federal
4S5TR21,35,24908,657,19455,90+,Agent,NE,Federal
59HOTGD,23,35619,741,20946,60-89,IVR,MW,Private
0JGUC3T,41,52629,725,14498,1-29,Web,MW,Federal
ZF5187O,27,59972,610,1020,30-59,Web,MW,Federal
6ZJ02K6,48,64277,713,13931,30-59,Agent,S,Consolidation
ZCV3HRQ,35,40380,582,0,30-59,Agent,NE,Federal
Q5N5KXQ,66,41145,700,41648,60-89,Mobile,W,Private
1Z337C7,60,38071,747,18617,90+,Mobile,W,Consolidation
3VD141A,27,82854,733,40686,30-59,Web,NE,Consolidation
E2ATN2T,65,49410,736,24538,90+,Mobile,MW,Private
4DILRZQ,23,86111,663,6791,30-59,Mobile,S,Private
FJ8HDI8,27,12000,682,28751,1-29,Mobile,S,Consolidation
7W683O3,52,17030,642,35483,1-29,Web,MW,Consolidation
V6FLVYW,25,38571,750,13923,90+,IVR,MW,Private
IFM5CI7,33,58829,731,11045,1-29,Mobile,NE,Private
6CYO51K,30,45942,649,0,1-29,Mobile,MW,Federal
1ENNGAY,21,28414,685,19370,60-89,Mobile,NE,Federal
06FTLO4,56,67066,677,34523,30-59,Web,MW,Private
AS12Q31,36,14575,725,48932,60-89,Mobile,W,Private
YRR4CKC,33,54854,739,33469,60-89,Agent,W,Federal
T2A1Q4P,68,44739,657,36948,30-59,Agent,NE,Consolidation
WOBYEZW,51,96031,704,0,1-29,Agent,W,Private
GYTBGHR,21,60783,689,0,1-29,Agent,S,Federal
GTBIDDV,25,56701,561,23334,90+,Agent,MW,Private
7R2FMFP,66,76964,662,13383,Current,Web,S,Consolidation
16GBOL0,53,75700,678,21145,30-59,Agent,NE,Consolidation
60YOKR7,73,35495,764,16491,1-29,Mobile,S,Consolidation
NPN3VGI,21,42409,609,29758,90+,Mobile,W,Private
ZXRI7SI,52,22967,687,37182,90+,Agent,W,Federal
YFKKPD4,49,28014,659,56602,30-59,Web,S,Federal
A2YY3HB,73,12000,707,13411,30-59,IVR,S,Private
SZQG6PK,63,42623,694,51120,30-59,Web,S,Consolidation
10LGS48,40,61230,638,12956,Current,Agent,MW,Private
XGYH6K9,67,59441,744,61122,1-29,Mobile,NE,Federal
VRBJ3HI,30,46830,677,37628,90+,Web,S,Private
PN0TYTW,47,73368,768,13937,60-89,IVR,S,Private
0A0RA0Y,37,22081,770,11017,60-89,Web,W,Private
2ADL7GE,24,12000,610,33052,60-89,Mobile,W,Private
2KLYYVU,74,29397,661,21544,30-59,Web,NE,Consolidation
GR6E7GA,29,43754,702,24378,90+,Web,NE,Private
ZMQ77HN,64,25485,737,4083,1-29,Agent,NE,Private
J8TH1PQ,44,45429,681,10076,Current,Agent,S,Federal
4EUTAWJ,19,33596,625,8563,1-29,IVR,W,Private
ZMPOGO9,19,33800,722,32875,60-89,Agent,W,Private
E4033GN,28,59012,678,15288,30-59,IVR,MW,Private
8DJZR5S,45,27354,647,43727,90+,Agent,MW,Private
GGO46X1,58,79984,606,23210,60-89,Web,S,Federal
6E4Z1WM,73,55874,671,52507,30-59,Mobile,NE,Private
LP7DGT6,64,53028,745,0,30-59,Web,NE,Consolidation
EUGQV2X,46,65237,714,57010,1-29,Web,MW,Federal
755NF4Z,35,65866,736,43317,30-59,Mobile,NE,Federal
VK0UCC1,39,51784,661,28340,Current,Mobile,MW,Consolidation
LGQE6XB,61,71077,701,35523,1-29,Agent,NE,Private
YN9382K,66,76744,579,29569,30-59,Web,W,Consolidation
B1N6QWA,50,63739,584,23796,60-89,Web,W,Federal
F8NBEWU,42,49544,671,29737,1-29,Web,MW,Federal
ISXHVT1,22,65162,693,15397,90+,Agent,S,Consolidation
6P5XH4Z,70,36371,705,55329,Current,Web,S,Consolidation
HUFN4VN,51,62224,719,39024,30-59,Mobile,MW,Consolidation
2J8NP9S,54,66108,749,41700,Current,IVR,S,Consolidation
92MI560,58,60558,604,56264,30-59,Agent,W,Federal
EJHJZQ9,60,35310,721,36323,60-89,IVR,MW,Private
1HMJUH0,34,76920,641,32951,1-29,Web,NE,Private
6PHK0VX,26,76030,682,45852,1-29,IVR,MW,Private
Y2BAQMR,66,79991,712,28695,90+,IVR,S,Consolidation
9M0GAKA,19,46999,647,30456,Current,IVR,S,Consolidation
F751VUT,42,82978,710,17418,30-59,Agent,W,Federal
2TX2XS4,27,83042,644,38875,60-89,Web,NE,Private
WX86Y4I,73,15740,687,45040,60-89,Mobile,S,Consolidation
98CJNJZ,71,116853,698,2439,Current,Agent,NE,Private
SDFC8IO,36,24369,634,0,30-59,Web,W,Federal
1I1CCMN,52,63109,696,45145,60-89,IVR,W,Private
9YETB15,52,45531,701,35255,30-59,IVR,W,Consolidation
6HFEPYD,47,51392,725,30350,90+,Agent,MW,Federal
RTC0Z7Q,50,41777,622,43485,60-89,Mobile,W,Consolidation
D0P92K3,26,79719,781,32341,30-59,IVR,W,Consolidation
430LR3O,74,27215,729,56271,1-29,IVR,NE,Private
NCPRCWF,60,59214,694,52177,30-59,Mobile,W,Federal
VH71HW3,19,62502,635,41537,60-89,Mobile,S,Private
GVYIE6I,71,63248,694,53290,90+,Mobile,S,Private
ZOD9GEV,28,77063,769,20149,1-29,Mobile,NE,Federal
03V1NPC,66,53998,620,31366,1-29,Web,NE,Consolidation
3BPEQPR,53,85879,799,0,90+,Mobile,NE,Private
EOCMBZJ,27,28121,632,26158,90+,Web,S,Private
077HBFF,40,12000,650,58763,90+,Mobile,S,Consolidation
ZXYVGSV,30,25424,626,66831,1-29,Web,NE,Private
EBXGKYA,67,12139,670,10852,90+,Agent,NE,Federal
K13ZP84,66,63887,705,8176,Current,IVR,NE,Federal
K5DJ3RZ,45,12164,723,63311,1-29,Mobile,S,Consolidation
XOGXVX9,40,64275,598,22143,60-89,Mobile,NE,Federal
DKNL48K,68,35058,590,16623,30-59,IVR,MW,Consolidation
RF4FXEN,38,48837,688,3862,1-29,IVR,S,Consolidation
BF6BIO0,27,47653,745,9972,1-29,Mobile,W,Federal
ZVR9D02,27,76552,648,21738,60-89,Agent,NE,Private
LPQK5FP,19,39679,701,9976,30-59,Web,S,Private
AHZG85S,38,12000,740,49635,1-29,Web,W,Private
O1LIYMW,30,31469,816,30337,90+,Mobile,MW,Federal
VH3T8X2,69,65641,547,18761,30-59,Web,S,Consolidation
QG4QLV7,52,83807,658,5721,90+,Web,NE,Private
5WMG7F1,36,42913,709,26920,30-59,Web,NE,Consolidation
1X9G4OE,72,65173,725,14533,60-89,IVR,NE,Consolidation
1ZSMH12,51,64153,618,2811,30-59,Mobile,MW,Private
PP0KLX5,21,42397,666,43645,30-59,Web,S,Private
4YKFJRA,32,20472,617,31294,60-89,Mobile,S,Federal
D56YJV6,18,39748,662,28254,Current,Agent,MW,Private
A2CQBYW,29,12000,636,63400,60-89,Web,W,Federal
I6OEUH8,40,23240,676,19073,1-29,IVR,S,Consolidation
ZD76SZN,24,25933,766,0,60-89,Mobile,S,Consolidation
0MQA1CC,40,65904,676,20641,1-29,Mobile,NE,Private
X5RIGO3,47,84842,756,10011,60-89,Agent,W,Consolidation
HJ3MUUR,67,20537,624,6484,Current,Web,S,Federal
AYLLD4Y,25,33359,652,36355,1-29,IVR,NE,Consolidation
454PW1V,43,56962,685,31535,60-89,IVR,W,Consolidation
PLC6PRR,71,25279,748,29739,1-29,IVR,W,Federal
BOTOV50,74,54847,675,19927,Current,IVR,S,Federal
KBHB7S9,68,46299,701,19077,Current,Web,MW,Federal
J6BRJDN,22,22664,681,19677,1-29,Agent,MW,Private
RLGDJ7W,56,91109,640,50653,1-29,Web,W,Private
2T8QC13,39,42218,672,31524,30-59,Agent,S,Federal
H30153S,63,56760,801,10805,90+,Mobile,W,Federal
PKSS9AW,37,67743,670,26283,30-59,Mobile,S,Consolidation
YHABG09,44,23862,642,35027,90+,Mobile,MW,Consolidation
AFCB3D6,47,58726,717,45385,60-89,Mobile,W,Private
93LV3C3,27,78285,581,39516,30-59,Mobile,S,Consolidation
CSWIYF9,30,39724,777,54229,1-29,Web,MW,Consolidation
27NLS4S,56,75547,657,5036,30-59,Mobile,NE,Private
1EKVIPA,18,31977,613,7463,30-59,Web,NE,Private
PUBKOPS,66,18456,629,18654,1-29,Agent,S,Consolidation
ZMPWB0F,60,82296,640,29329,30-59,Agent,S,Consolidation
HVOGE67,74,58851,659,33955,30-59,Mobile,W,Private
VAJIMMN,36,84138,708,34125,90+,IVR,W,Private
SM5R7GO,37,23890,775,0,90+,Agent,MW,Consolidation
V3ED46K,24,20993,667,21727,30-59,Agent,W,Private
KWD3X2K,52,29961,612,35447,30-59,Web,S,Consolidation
AU5S843,41,49263,761,35012,60-89,IVR,W,Private
0NW60JS,61,84880,693,5434,60-89,Mobile,MW,Private
P37IPDT,20,12000,649,20749,60-89,Web,S,Private
0UNJF4U,46,12000,697,21176,60-89,Mobile,NE,Private
JQCYYPQ,22,22718,724,17343,Current,Web,MW,Consolidation
5FL42VL,71,87235,570,26510,30-59,Web,S,Private
QVAYXAR,66,40513,622,9095,Current,IVR,MW,Federal
G4C1ARR,22,52564,680,25525,30-59,IVR,NE,Consolidation
6J5Q1D7,31,33416,709,44487,Current,Agent,S,Private
GOCRK53,50,63974,716,42819,1-29,Agent,W,Consolidation
VKOG101,30,73278,633,38444,Current,Agent,W,Consolidation
