Borrower_ID,Age,Annual_Income,Loan_Balance,Credit_Score,Monthly_Payment_Amount,Amortization_Ratio,Engagement_Recency,Delinquency_Status,Region,Primary_Channel,Loan_Type,SAVE_Tranche
XXWSYAR,69,59164,72878,629,363,112.8,1-12mo,60-89,W,Agent,Federal,T2
0YVSUGG,59,38655,61567,639,60,107.3,1-12mo,60-89,NE,Mobile,Federal,T7
9DTUIPX,59,41264,50451,653,13,107.7,1-12mo,60-89,MW,IVR,Consolidation,T7
7PJQD67,57,31480,43581,729,253,111.7,<30d,60-89,W,Mobile,Federal,T2
2SZNA3E,49,34451,70342,648,0,106.9,Never,60-89,W,Agent,Federal,T5
FM0NEZU,60,31030,34611,677,154,96.1,>1yr,Current,NE,IVR,Consolidation,T6
FSAE4VD,29,17001,90027,752,273,111.5,Never,30-59,NE,Web,Consolidation,T2
GQFGG4J,52,104338,71022,708,274,104.2,1-12mo,Current,NE,IVR,Consolidation,T4
UGJI5FY,25,55373,66875,560,258,114.4,<30d,90+,W,Web,Consolidation,T2
14ELN6V,36,55482,67222,680,357,100.8,1-12mo,60-89,W,Mobile,Consolidation,T4
6UESTRJ,34,39148,30832,683,231,106.6,<30d,90+,S,Mobile,Consolidation,T8
355SIUF,55,57744,41341,604,3,105.1,<30d,30-59,W,Mobile,Federal,T8
1NI113R,35,66177,53213,691,495,98.9,<30d,90+,MW,Web,Federal,T4
P4HX7AR,46,69136,71742,707,334,99.4,1-12mo,30-59,S,Mobile,Federal,T4
WKVKSEW,56,40569,51564,634,136,106.7,>1yr,30-59,W,Web,Federal,T6
C1M8UDW,49,45894,46717,678,267,111.3,Never,30-59,NE,Agent,Federal,T2
G0JTOWX,33,73718,31614,716,168,105.3,1-12mo,90+,W,Agent,Federal,T7
VGB7QNN,37,32454,77877,610,255,97.5,<30d,1-29,S,Web,Consolidation,T4
39QAWW5,35,34318,17266,567,436,97.6,1-12mo,60-89,W,Web,Federal,T4
YENZF13,53,46087,74758,630,165,100.7,<30d,Current,MW,IVR,Consolidation,T8
XQ7XIMR,39,55995,45520,648,426,101.5,Never,30-59,S,Web,Consolidation,T4
3F1F87J,55,15000,58151,713,328,97.1,>1yr,60-89,W,Web,Federal,T4
S4BYX2U,38,61040,19707,669,0,100.1,>1yr,Current,W,IVR,Federal,T6
MZFT6F2,34,43028,23398,662,137,112.8,<30d,60-89,S,Mobile,Federal,T3
ARSJPNK,47,68278,1409,643,0,105.2,1-12mo,90+,S,Web,Federal,T7
OD6LGZE,25,15000,32353,752,320,108.0,>1yr,30-59,S,Agent,Consolidation,T2
XTL3MT3,63,53914,45578,789,0,98.8,>1yr,Current,W,Web,Federal,T6
X5W3D46,55,81202,31506,707,20,98.6,>1yr,1-29,MW,Web,Federal,T6
SSCGAS1,33,76226,50458,653,296,112.0,Never,90+,MW,Mobile,Consolidation,T2
BA4DJ50,58,58446,71678,632,128,113.9,Never,60-89,NE,Web,Federal,T3
S5UNOJX,63,55799,31729,761,7,113.6,Never,60-89,S,Agent,Federal,T3
C6NYSG2,66,59800,42942,607,1,102.6,<30d,Current,NE,Mobile,Consolidation,T8
3YIXKG6,61,62046,38348,676,532,113.6,1-12mo,90+,S,Mobile,Federal,T2
GKPMPG4,22,51368,66684,697,393,113.9,1-12mo,60-89,NE,Web,Federal,T2
SIVARLE,56,31460,14720,716,0,100.9,>1yr,Current,W,Agent,Federal,T6
7NS54NT,50,82473,78982,738,521,106.3,Never,90+,S,Web,Consolidation,T2
COH56D2,54,50117,46489,678,204,104.9,<30d,Current,S,Agent,Consolidation,T8
5KFS2LI,49,71375,35135,676,18,102.9,<30d,Current,W,Mobile,Federal,T8
C6NKD65,57,72682,68062,574,0,98.0,Never,1-29,NE,IVR,Federal,T5
44Y5GFT,53,60964,5539,683,102,100.7,1-12mo,1-29,W,Web,Federal,T7
GKWZQI0,49,33527,60142,534,129,101.7,>1yr,Current,W,IVR,Federal,T6
KM0JMPR,35,71697,22953,638,50,106.0,1-12mo,60-89,W,Mobile,Federal,T7
4N1B48D,66,48498,78145,785,0,96.1,>1yr,Current,S,Web,Federal,T6
S6B1LCV,30,45084,40192,715,217,107.8,<30d,60-89,W,IVR,Federal,T8
AB35FAU,44,65402,14100,610,229,113.1,1-12mo,60-89,S,Agent,Consolidation,T3
3RNTOUH,24,90770,91062,553,0,100.0,<30d,Current,NE,Web,Federal,T8
37367FM,35,71560,26525,736,63,98.4,>1yr,Current,W,IVR,Consolidation,T6
3UHJE1U,67,73912,62092,516,185,103.9,<30d,Current,W,IVR,Federal,T8
0LEL1IN,30,44421,25604,723,0,102.9,>1yr,Current,S,Agent,Federal,T6
28HWFBO,29,28026,32582,457,185,112.2,>1yr,90+,W,Agent,Federal,T3
AUOUN0Y,39,73638,34574,732,231,96.3,Never,Current,NE,Web,Consolidation,T5
WD0ESJH,44,72074,0,670,26,100.6,Never,1-29,W,IVR,Federal,T5
4GD6GBM,59,76863,37279,701,263,114.9,>1yr,60-89,MW,Mobile,Consolidation,T2
9829XPC,22,60863,30567,598,225,102.9,Never,Current,MW,Web,Consolidation,T5
DQZKUJ7,51,38892,47888,694,0,99.8,>1yr,Current,NE,Web,Consolidation,T6
0AWMPTQ,44,64292,59046,739,0,96.6,>1yr,Current,MW,IVR,Consolidation,T6
Q190MD2,69,37130,59705,728,339,97.7,>1yr,60-89,S,Agent,Consolidation,T4
5M6UNIF,53,58460,37468,733,0,98.7,<30d,1-29,W,Mobile,Federal,T8
315BDRV,65,50107,65211,675,9,112.4,<30d,60-89,W,Agent,Consolidation,T3
08E7JDN,65,65635,74625,720,313,112.9,Never,30-59,NE,IVR,Federal,T2
4SCFW27,42,37344,57492,804,0,112.2,<30d,30-59,MW,Agent,Consolidation,T3
QCYSGDE,56,61116,30392,687,372,95.4,1-12mo,30-59,NE,Mobile,Consolidation,T4
PFKXQVN,36,28712,54161,685,133,102.3,1-12mo,Current,MW,Mobile,Federal,T7
WPR8B4N,43,85413,83840,731,404,106.8,<30d,60-89,W,IVR,Consolidation,T2
SB8IRQJ,40,89246,3270,546,309,111.3,<30d,60-89,S,IVR,Federal,T2
RGWY3EV,64,50292,75472,665,369,112.1,>1yr,30-59,S,Web,Federal,T1
GWXFWKG,67,84323,8029,707,406,107.6,1-12mo,30-59,W,Agent,Consolidation,T2
87JREP3,46,55501,46788,767,163,99.5,>1yr,Current,W,IVR,Federal,T6
V6RLY72,39,40722,31534,626,70,114.9,>1yr,60-89,W,Agent,Consolidation,T3
I1NHC13,61,58906,53809,752,297,114.3,>1yr,90+,W,IVR,Federal,T2
UQ6EJJ1,45,23580,63262,671,71,108.3,>1yr,30-59,W,Mobile,Federal,T3
35RIZVH,53,33045,67838,717,291,103.5,>1yr,Current,NE,Agent,Federal,T4
0OJFZQ2,51,34414,53543,719,239,110.1,1-12mo,60-89,MW,Agent,Federal,T3
LOAOZ92,60,55227,2229,776,362,95.4,>1yr,90+,S,Mobile,Consolidation,T4
9ON7ZR4,51,48530,74028,690,199,105.4,Never,90+,MW,Mobile,Federal,T5
XA25Y83,23,25627,51370,596,256,107.3,Never,60-89,NE,Mobile,Consolidation,T2
YSG2KV2,36,89130,12068,651,113,107.5,<30d,30-59,S,Mobile,Federal,T8
4H40U6X,28,76420,38047,591,370,95.7,<30d,60-89,NE,Mobile,Consolidation,T4
67DOQZ9,27,35996,0,625,143,112.0,>1yr,30-59,W,IVR,Federal,T3
ME4XC5M,33,59138,29179,580,307,108.3,Never,30-59,MW,Mobile,Consolidation,T2
7T56HCC,67,55340,55467,558,79,111.0,Never,60-89,NE,Mobile,Federal,T3
SOMI45S,26,27126,16584,735,132,97.4,1-12mo,Current,NE,Agent,Consolidation,T7
WR1TU1E,43,57133,75960,525,0,112.6,Never,30-59,NE,Mobile,Federal,T3
15PNZ8H,61,31239,69393,649,41,105.0,Never,Current,NE,Agent,Federal,T5
CXCBU9Y,48,35209,69967,670,346,100.2,<30d,30-59,NE,Web,Federal,T4
L9VYOBK,36,35474,31885,740,241,109.0,>1yr,30-59,S,Agent,Consolidation,T3
KN5MTAL,61,53865,19875,689,68,108.2,>1yr,30-59,NE,Agent,Federal,T3
KL1VQVO,29,88386,77032,744,142,110.9,>1yr,60-89,NE,Web,Consolidation,T3
INAYCKD,27,62525,59542,725,221,108.2,Never,60-89,W,IVR,Consolidation,T3
DH18G2K,70,39732,110482,671,149,114.1,Never,30-59,MW,Agent,Federal,T3
9M8AJF0,55,94438,59546,773,0,104.3,Never,Current,W,Agent,Federal,T5
QTR0FZG,61,58986,30917,664,276,102.7,<30d,Current,NE,Web,Consolidation,T4
A196R0Y,49,80674,59478,820,293,106.1,Never,30-59,NE,Agent,Consolidation,T2
U4WPUVM,55,46068,89009,728,165,114.2,<30d,30-59,MW,Mobile,Federal,T3
350V402,43,57870,65200,685,0,103.9,1-12mo,Current,MW,IVR,Federal,T7
0P3VW7I,45,22969,71775,659,422,103.8,<30d,60-89,MW,Mobile,Federal,T4
369WJ3O,45,39558,76717,761,462,100.1,<30d,30-59,NE,IVR,Consolidation,T4
STMGSYP,42,53026,63536,608,245,108.0,>1yr,60-89,NE,Mobile,Federal,T6
LOER796,34,49626,85307,709,134,114.7,>1yr,30-59,W,Mobile,Federal,T3
J3QNUWV,24,62365,63243,684,56,114.6,<30d,60-89,MW,Web,Consolidation,T3
B1VH5WR,59,55491,19418,542,134,106.5,Never,30-59,S,Web,Federal,T5
RU9HRG0,67,26045,46621,639,171,110.2,<30d,30-59,W,Mobile,Consolidation,T3
8N9GEI7,43,15000,49653,577,388,99.1,Never,60-89,MW,Agent,Consolidation,T4
A6WZDAY,55,73090,71783,778,343,98.7,Never,60-89,S,Web,Consolidation,T4
MQNTYHU,43,46113,65766,742,148,113.5,1-12mo,60-89,MW,Web,Federal,T3
D2PNUBQ,57,69427,55365,613,347,100.7,Never,30-59,S,Agent,Consolidation,T4
5EBEFCT,37,50949,87908,724,142,101.7,>1yr,Current,NE,Web,Federal,T6
P1ISP90,26,57745,25664,817,167,108.0,1-12mo,90+,W,Web,Consolidation,T7
0F4RGLC,41,40674,49171,689,220,99.5,<30d,Current,S,Agent,Federal,T8
8OLQUUO,51,69467,62444,618,82,97.6,Never,Current,S,Agent,Federal,T5
5NFL67F,48,61342,34006,568,125,101.2,>1yr,Current,W,IVR,Consolidation,T6
ODZ18B5,56,80895,47444,747,318,95.4,Never,60-89,MW,Web,Federal,T4
3FZ7W5B,57,58011,58725,580,56,113.2,<30d,30-59,W,Web,Consolidation,T3
PQCZRHX,70,40356,3961,761,73,114.1,>1yr,30-59,S,Web,Consolidation,T3
MAIZCJD,32,52783,41048,654,317,110.4,1-12mo,30-59,W,Agent,Consolidation,T2
VVOZOAS,58,54712,101983,685,146,112.4,>1yr,60-89,W,Agent,Consolidation,T3
N4PSXAP,47,87029,49013,763,161,113.9,1-12mo,90+,W,Mobile,Consolidation,T3
NKIEK84,27,31738,10794,674,443,95.8,Never,60-89,NE,IVR,Consolidation,T4
TIZ13W7,52,34649,78241,699,571,114.8,>1yr,60-89,MW,Agent,Consolidation,T1
VW25IE1,46,44126,44610,623,235,108.8,1-12mo,30-59,S,IVR,Federal,T3
GWNO1HU,50,35755,50284,780,57,97.8,1-12mo,1-29,MW,Web,Consolidation,T7
NFZY2QA,61,37909,17804,751,150,104.9,>1yr,Current,MW,Agent,Consolidation,T6
68X5P2H,63,74446,24254,654,137,104.4,Never,Current,S,Mobile,Consolidation,T5
A97A63U,42,52051,56756,735,292,114.5,<30d,30-59,NE,Agent,Consolidation,T2
T0I7YDY,53,40743,38860,530,172,106.1,<30d,60-89,NE,Web,Federal,T8
VIGKG1L,41,43576,33244,629,93,109.1,1-12mo,90+,NE,Mobile,Consolidation,T3
NC22L0A,24,46458,30475,755,188,98.7,>1yr,Current,W,IVR,Federal,T6
C07DVMK,67,48670,8208,669,40,114.6,Never,30-59,S,IVR,Consolidation,T3
6ZT7WEJ,60,76385,87805,563,326,105.9,1-12mo,60-89,W,IVR,Consolidation,T2
MT9NPLL,62,54400,76793,632,0,104.9,1-12mo,Current,MW,Mobile,Consolidation,T7
EP0UG66,65,38459,0,736,205,107.3,Never,60-89,W,Web,Federal,T5
C4SMKQY,37,15000,58428,680,412,105.7,<30d,30-59,NE,Web,Federal,T2
ZOSTI6E,54,76517,44275,590,0,107.7,>1yr,60-89,NE,Agent,Federal,T6
SS5HB38,67,35041,43149,674,447,113.7,>1yr,90+,W,Web,Federal,T1
GXZKLRX,31,57411,47336,640,248,96.0,>1yr,1-29,NE,IVR,Federal,T6
9B8Y7SL,62,56531,108292,667,182,108.0,1-12mo,60-89,MW,Web,Federal,T7
VWCECLC,53,66415,0,715,132,100.5,1-12mo,1-29,S,Mobile,Consolidation,T7
9W32BBD,22,83394,54532,710,73,110.0,>1yr,60-89,W,Web,Federal,T3
S9HPQ9T,28,27360,21425,704,218,95.8,>1yr,Current,NE,Agent,Consolidation,T6
QGLX71F,41,50987,78954,755,24,114.2,>1yr,60-89,MW,Agent,Consolidation,T3
YRYYAY6,56,70046,44516,718,160,100.6,1-12mo,Current,MW,Web,Federal,T7
P847WU5,55,46669,13553,612,270,104.6,1-12mo,Current,W,IVR,Federal,T4
TOBUYB4,59,52801,0,739,139,104.2,<30d,Current,W,IVR,Federal,T8
JB9LXMY,29,37772,39934,585,0,103.7,>1yr,Current,MW,Agent,Consolidation,T6
7D3J4VY,41,110009,54343,746,171,98.9,Never,Current,NE,Agent,Consolidation,T5
VSANMS2,65,56868,40758,575,279,100.9,Never,Current,S,Mobile,Federal,T4
GX3EXLP,65,58623,46571,808,301,103.3,<30d,30-59,NE,Agent,Consolidation,T4
F87MIOL,62,63890,34854,648,276,112.7,<30d,30-59,S,Mobile,Consolidation,T2
K4CPFWE,57,89716,51723,767,0,107.5,Never,90+,S,Web,Federal,T5
